,Activation,# of Neurons in hidden unit 1,# of Neurons in hidden unit 2,Alpha,Learning Rate,R^2,Train Loss,Test MSE,Time Taken
0,identity,5,5,0.0001,0.1,0.3392157627193867,0.2757276937502663,1.6090244791730541,1.42845
1,identity,5,5,0.0001,0.01,-7.141690793960763,1.4376305717371491,9.548207542451507,1.18889
2,identity,5,5,0.0001,0.001,-1.3516737205754934,0.3479869791077305,3.481842728407612,3.01936
3,identity,5,5,0.001,0.1,-41.222372466387306,1.8672966557410258,43.75480795740869,0.89367
4,identity,5,5,0.001,0.01,-0.22659185132663473,0.5210984238990128,2.2993502639383747,1.73692
5,identity,5,5,0.001,0.001,0.49872537800312244,0.24038412920492855,1.570189132293362,2.68015
6,identity,5,10,0.0001,0.1,-0.7744174855539383,14.736481879590075,2.4486482667664142,0.6505
7,identity,5,10,0.0001,0.01,-180.23424252543677,20.019316611491433,187.14472751232694,0.83639
8,identity,5,10,0.0001,0.001,0.4505452042406004,0.4205340261109942,1.6323345259088533,5.46142
9,identity,5,10,0.001,0.1,0.4676946905889612,0.27744904122512565,1.295354829061942,1.55367
10,identity,5,10,0.001,0.01,-5312.050680406977,4.454931524669762,5439.220892423082,1.90924
11,identity,5,10,0.001,0.001,-0.7514271447723435,1.1314415358572172,2.7640167210987987,3.1388
12,identity,5,20,0.0001,0.1,0.4385082186286603,0.2983110636276561,1.4140631065659763,1.21615
13,identity,5,20,0.0001,0.01,0.37211162484872196,0.6327575143232665,1.5115239101374771,0.60018
14,identity,5,20,0.0001,0.001,0.22140043866972814,0.40955835926313816,1.8860163607746772,3.58726
15,identity,5,20,0.001,0.1,-1.0308683045892733,1.1168635061166223,2.50669262990298,0.71189
16,identity,5,20,0.001,0.01,0.3271702735968023,0.32232739802326416,1.5186943853935817,1.02108
17,identity,5,20,0.001,0.001,0.32497467835566374,0.5094494290764275,1.7697984957126338,3.35243
18,identity,5,50,0.0001,0.1,0.5125844120510717,0.3006108331275281,1.5233180093024963,3.64862
19,identity,5,50,0.0001,0.01,-0.0046424799313598,0.41638286603184727,1.3457214336016163,2.31953
20,identity,5,50,0.0001,0.001,0.43074375526681985,7.485174172017039,1.4991998689173098,4.4227
21,identity,5,50,0.001,0.1,0.4442764782814711,9.900250641998102,1.3469596455190238,1.9702
22,identity,5,50,0.001,0.01,0.12742453650578967,2.8753635763819343,1.3216703214547108,1.82609
23,identity,5,50,0.001,0.001,-0.99595898331362,0.8084097080304422,3.116418809953292,4.26626
24,identity,10,5,0.0001,0.1,-1.3810758632541127,0.8462144735304399,3.5090075129514657,1.65887
25,identity,10,5,0.0001,0.01,-0.8337493132767717,7.766594608695232,3.017070420789709,1.45863
26,identity,10,5,0.0001,0.001,0.45136996467702417,0.3056376102732802,1.648707072961666,3.37221
27,identity,10,5,0.001,0.1,0.44388257340013837,0.25385101482806094,1.5810813764598866,1.75068
28,identity,10,5,0.001,0.01,-27.025140716066296,3.131934604241793,29.923681407159098,1.21534
29,identity,10,5,0.001,0.001,0.39597319077528725,0.30192948453803437,1.7139304178066148,2.72599
30,identity,10,10,0.0001,0.1,0.1615470864647347,0.4315319371474518,1.057520315253459,0.87898
31,identity,10,10,0.0001,0.01,0.301413600879576,0.7380135181154964,1.1661239770272969,0.57638
32,identity,10,10,0.0001,0.001,-0.7172050264236798,0.5342889124369894,2.8520241618423023,2.7287
33,identity,10,10,0.001,0.1,0.23627176407182182,0.28887483050198665,1.798753620749199,1.92341
34,identity,10,10,0.001,0.01,0.1623007387219998,0.8778631347416203,1.9029358530233313,1.45315
35,identity,10,10,0.001,0.001,0.276434782819556,0.46346470812619195,1.8115899153028763,3.35089
36,identity,10,20,0.0001,0.1,-2.7915750633107055,7.722939902768626,4.370149065983721,1.3819
37,identity,10,20,0.0001,0.01,0.03705389149857652,0.9867030658092422,1.9445282565781257,0.83416
38,identity,10,20,0.0001,0.001,-4.094615514312344,1.1056292748519094,6.265442695227244,2.66464
39,identity,10,20,0.001,0.1,0.49690496296028164,0.2940065341101871,1.534274060850307,2.0764
40,identity,10,20,0.001,0.01,-1.4587206638885815,0.7176459598561713,3.0520956965375734,0.7528
41,identity,10,20,0.001,0.001,0.13156400653526568,0.771989878037065,1.8502064979299404,2.88854
42,identity,10,50,0.0001,0.1,-3.5012893719456466,0.9349528617518545,5.374396739880808,3.07394
43,identity,10,50,0.0001,0.01,-83.38148481704874,2.0271894029250683,87.82753153241653,1.91395
44,identity,10,50,0.0001,0.001,0.44218597523532654,0.2469984605662226,1.632961194948698,3.18657
45,identity,10,50,0.001,0.1,-408.0732543389321,67.57090573123679,420.6554724614968,0.98616
46,identity,10,50,0.001,0.01,-234.7939892537755,69.2830699424288,241.17844487587672,1.58079
47,identity,10,50,0.001,0.001,0.46150770683834186,0.269359972119601,1.5103334140192755,3.72433
48,identity,20,5,0.0001,0.1,-0.09665451547303494,0.6326796305116564,2.038552058498204,1.95565
49,identity,20,5,0.0001,0.01,-12.387237156827164,4.9780187939377525,14.821564913924016,1.25409
50,identity,20,5,0.0001,0.001,0.4376168066821323,0.31570397986936716,1.6120552459217201,1.9508
51,identity,20,5,0.001,0.1,-3.664016529026907,7.3848328574341435,5.761701589057755,1.32814
52,identity,20,5,0.001,0.01,0.20420691415076042,0.5626007921491111,1.8806335481584104,1.50442
53,identity,20,5,0.001,0.001,0.3478695576525569,0.3876775049762528,1.6295708327431646,1.51354
54,identity,20,10,0.0001,0.1,-2.300936278751026,1.2058949180887313,3.917667310973163,0.83288
55,identity,20,10,0.0001,0.01,-1.2330045644444843,0.9097674755232569,3.238817830330976,1.38382
56,identity,20,10,0.0001,0.001,-0.011743069033877118,8.955158010078463,2.042215743314972,1.91456
57,identity,20,10,0.001,0.1,0.125722466199938,0.9955899085382026,1.2421172224086103,0.99575
58,identity,20,10,0.001,0.01,-21.20117814694175,4.062091644685166,23.554154192758315,0.62
59,identity,20,10,0.001,0.001,0.40693757527711893,0.3617401729158169,1.6347244257228903,1.2404
60,identity,20,20,0.0001,0.1,-2.2123690837973733,3.534757535142536,4.392989832840614,0.98796
61,identity,20,20,0.0001,0.01,-7.579105041523933,12.13400605085172,9.815700258904895,0.86453
62,identity,20,20,0.0001,0.001,0.4845286442043344,0.342532413814359,1.487771300971793,2.43895
63,identity,20,20,0.001,0.1,0.3886666075363232,0.3588909124230247,1.1751975768171272,1.61304
64,identity,20,20,0.001,0.01,0.07329263578272793,0.41343066808407813,2.0109148012573685,1.14999
65,identity,20,20,0.001,0.001,0.04213322274433495,5.062130181549158,2.086183983348909,0.68278
66,identity,20,50,0.0001,0.1,-291.47714198977127,104.05102281735694,298.651353081544,1.42007
67,identity,20,50,0.0001,0.01,-2.632596908568514,20.517188592543828,4.596715079999812,2.03991
68,identity,20,50,0.0001,0.001,-0.23835983703736652,0.4518527923697895,2.178375711503218,3.72183
69,identity,20,50,0.001,0.1,0.36494680189151785,0.3381130584643456,1.1525578955568565,4.23423
70,identity,20,50,0.001,0.01,0.2769384152433171,36.714065259068846,1.4124026212768266,2.09419
71,identity,20,50,0.001,0.001,-14.095714000781111,0.5743743239251041,16.18816145909309,4.47765
72,identity,50,5,0.0001,0.1,0.476531497208987,0.25078178331426393,1.5427205257756984,1.95155
73,identity,50,5,0.0001,0.01,-1.585860452164602,1.2674235588822624,3.704952011139234,0.48465
74,identity,50,5,0.0001,0.001,-0.7989150744002207,3.2851666032836366,2.8501963353785644,2.42454
75,identity,50,5,0.001,0.1,-3.3506025113140163,6.282957151913975,5.275390652717031,0.94658
76,identity,50,5,0.001,0.01,-115.18613784235129,17.282063155519594,119.10239086713518,0.74666
77,identity,50,5,0.001,0.001,-0.9702592620518664,12.613161646006217,3.1801569831255465,2.08067
78,identity,50,10,0.0001,0.1,0.357757135972128,0.2623852888174169,1.6218349045903693,1.78744
79,identity,50,10,0.0001,0.01,-9.356101195403607,15.285969508324422,11.177338115071382,1.03461
80,identity,50,10,0.0001,0.001,0.4417122435653241,0.27716292713206003,1.6190787950275476,1.91191
81,identity,50,10,0.001,0.1,-2.3498431909485653,6.458587052088769,4.069752488067123,2.61542
82,identity,50,10,0.001,0.01,-1.2773756815296164,0.5322519725725887,3.36162772179185,0.90726
83,identity,50,10,0.001,0.001,0.26863918480358295,0.9470671561155692,1.7770105835498484,0.97202
84,identity,50,20,0.0001,0.1,-15.097449865023265,15.525305235927599,17.175118474953102,1.55567
85,identity,50,20,0.0001,0.01,-43.92291169475774,24.856478741318853,46.626988647061616,1.87014
86,identity,50,20,0.0001,0.001,0.0763492266723057,0.4076089942231299,1.884815921725271,1.96215
87,identity,50,20,0.001,0.1,0.193745828721969,0.7998446217056436,1.512264110736788,1.98833
88,identity,50,20,0.001,0.01,-8.07343035354518,119.17761207653533,10.200953734280372,1.07208
89,identity,50,20,0.001,0.001,0.12421450168976866,0.56072831490448,1.8852016700775254,1.7323
