,Activation,# of Neurons in hidden unit 1,# of Neurons in hidden unit 2,Alpha,Learning Rate,Accuracy Score,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,Time Taken
22,identity,5,50,0.001,0.01,0.7778585271317829,0.7724972267514496,0.7770886275993591,0.7699310682305072,0.7778585271317829,0.771066987370866,0.7773331618900805,2.26357
23,identity,5,50,0.001,0.001,0.7940891472868217,0.794103524878366,0.7940950735342325,0.7796707149792703,0.7940891472868217,0.7841454168919253,0.7915078177260698,4.57879
24,identity,10,5,0.0001,0.1,0.8125,0.8182321817615935,0.8152759622367466,0.7954780142718432,0.8125,0.8016849017273072,0.8090445536639114,1.51007
25,identity,10,5,0.0001,0.01,0.7359496124031008,0.8159317853753779,0.7962068585070269,0.6895353944792935,0.7359496124031008,0.6851593473566657,0.7052548925137594,0.93668
26,identity,10,5,0.0001,0.001,0.5256782945736435,0.6900757575757576,0.7251814658210007,0.5870066119014226,0.5256782945736435,0.48125526277956915,0.45713149716954204,1.0591
27,identity,10,5,0.001,0.1,0.7856104651162791,0.8163698537570031,0.8057832016330183,0.7553721699058304,0.7856104651162791,0.7627651373691079,0.7744642279250363,1.0187
28,identity,10,5,0.001,0.01,0.7466085271317829,0.7693372951837141,0.7895955449691308,0.767531556802244,0.7466085271317829,0.7465847328072237,0.7461945058844537,1.27272
29,identity,10,5,0.001,0.001,0.6942829457364341,0.7386072413654747,0.7624406331135489,0.7234079034569918,0.6942829457364341,0.6928495371107362,0.6895150830027295,1.05265
30,identity,10,10,0.0001,0.1,0.7965116279069767,0.7925066705147685,0.8020256996788575,0.798743507544349,0.7965116279069767,0.7938849785546507,0.7975825793596418,1.20525
31,identity,10,10,0.0001,0.01,0.7829457364341085,0.7792701126034459,0.7893168177405904,0.7855370436015597,0.7829457364341085,0.7803587716631195,0.7841468272206391,0.86988
32,identity,10,10,0.0001,0.001,0.6436531007751938,0.7846467120943457,0.7585043127089971,0.5775097097853059,0.6436531007751938,0.519710511173201,0.5584832049161228,1.45801
33,identity,10,10,0.001,0.1,0.7936046511627907,0.8150094837244306,0.8068267505307034,0.7673254165189649,0.7936046511627907,0.7750349435466312,0.7853062152129049,0.67446
34,identity,10,10,0.001,0.01,0.7088178294573644,0.7903414826999513,0.7714039768475656,0.6584621549558436,0.7088178294573644,0.6459050535568093,0.6696238932066736,0.81156
35,identity,10,10,0.001,0.001,0.7686531007751938,0.7819377500194862,0.7766560955320584,0.7430307245349321,0.7686531007751938,0.7490773169710983,0.7602149702022228,1.12298
36,identity,10,20,0.0001,0.1,0.815406976744186,0.814547124044015,0.8151134527300714,0.8039105004392522,0.815406976744186,0.8077078351603988,0.8138224076530919,1.11322
37,identity,10,20,0.0001,0.01,0.781734496124031,0.7770207417343098,0.7859578020801397,0.7822012314473745,0.781734496124031,0.7784714304271932,0.782744027427444,1.2473
38,identity,10,20,0.0001,0.001,0.7592054263565892,0.76593068002034,0.7814650687647785,0.7715291370620964,0.7592054263565892,0.7587155620192372,0.7604432555961343,1.82895
39,identity,10,20,0.001,0.1,0.7679263565891473,0.8208624514548766,0.8055240776775274,0.7301604426429111,0.7679263565891473,0.7347453689046672,0.7496540866587897,0.89501
40,identity,10,20,0.001,0.01,0.8098352713178295,0.8229315968811768,0.8171345728801269,0.7885973598631383,0.8098352713178295,0.7961657538362812,0.8045541574545185,1.63747
41,identity,10,20,0.001,0.001,0.7984496124031008,0.793166676765316,0.7986157424546035,0.7936227517223309,0.7984496124031008,0.7933897641518399,0.7985279382274236,0.88919
42,identity,10,50,0.0001,0.1,0.7713178294573644,0.8115154693634018,0.7989584923260872,0.7368783040241665,0.7713178294573644,0.7426389723607304,0.7562916067986054,2.14891
43,identity,10,50,0.0001,0.01,0.813468992248062,0.8105415233415234,0.8127438393996532,0.8043709446233991,0.813468992248062,0.8068529949647218,0.812533746558794,4.07478
44,identity,10,50,0.0001,0.001,0.7359496124031008,0.7406650254421185,0.7552561148458719,0.7462490174622012,0.7359496124031008,0.7351837138266505,0.7374469096201253,1.89533
45,identity,10,50,0.001,0.1,0.8083817829457365,0.8035191517849065,0.808223998453792,0.8029828691644961,0.8083817829457365,0.8032449167680747,0.808297067011772,2.27598
46,identity,10,50,0.001,0.01,0.8163759689922481,0.8127647925139294,0.8157112250634033,0.8086960374828538,0.8163759689922481,0.8104481579385447,0.8157750675977631,3.46576
47,identity,10,50,0.001,0.001,0.7860949612403101,0.8005194148395949,0.7946127721672286,0.7618723317355856,0.7860949612403101,0.7688010010057884,0.7788495731172554,1.29249
48,identity,20,5,0.0001,0.1,0.8166182170542635,0.8152900052076,0.8161919792980878,0.8057455342693771,0.8166182170542635,0.8092559188942603,0.8152111193788005,1.18429
49,identity,20,5,0.0001,0.01,0.7839147286821705,0.8170144530141148,0.8058679339372383,0.7528031225436556,0.7839147286821705,0.7600434794508765,0.7720707755305454,1.3798
50,identity,20,5,0.0001,0.001,0.8083817829457365,0.8060127288926873,0.8076838035795693,0.7980066041952438,0.8083817829457365,0.8010394518245856,0.8071133095994594,1.46796
51,identity,20,5,0.001,0.1,0.8125,0.8161152956234923,0.8141389340159831,0.7968998042630582,0.8125,0.8025197784810127,0.8095747626582279,0.74698
52,identity,20,5,0.001,0.01,0.7410368217054264,0.8031210877749078,0.7867384334943045,0.6981903965599617,0.7410368217054264,0.6971775918258306,0.7154918214891118,2.46717
53,identity,20,5,0.001,0.001,0.7994186046511628,0.8144528873213959,0.8081469477870782,0.7762915555692553,0.7994186046511628,0.7837852609429335,0.7930244262335628,1.10254
54,identity,20,10,0.0001,0.1,0.8117732558139535,0.8066279909030246,0.8128098476458256,0.8090688238829894,0.8117732558139535,0.8076970556651366,0.8121462857776556,1.34761
55,identity,20,10,0.0001,0.01,0.8093507751937985,0.8082967751885597,0.808984075390783,0.7974999229382118,0.8093507751937985,0.8012983993771676,0.8076550281806691,1.91641
56,identity,20,10,0.0001,0.001,0.7771317829457365,0.8096237970253719,0.7987931256654934,0.7454495014102307,0.7771317829457365,0.7520889037433156,0.764610343344526,1.13801
57,identity,20,10,0.001,0.1,0.8040213178294574,0.8208561686935645,0.8138929516905038,0.780579080806991,0.8040213178294574,0.7884182478135889,0.7975490363331337,1.11692
58,identity,20,10,0.001,0.01,0.7589631782945736,0.773972445725434,0.7922737086151074,0.7762963719310143,0.7589631782945736,0.7589139293685009,0.7594615106482258,1.36936
59,identity,20,10,0.001,0.001,0.7943313953488372,0.8093086507732331,0.8030981074366946,0.7707170984695528,0.7943313953488372,0.7780198569528692,0.7875822959052866,0.77686
60,identity,20,20,0.0001,0.1,0.7076065891472868,0.8172170215513923,0.7932328842408208,0.6537835411432886,0.7076065891472868,0.636379320348069,0.6619540813400159,1.1237
61,identity,20,20,0.0001,0.01,0.7923934108527132,0.8156134102671265,0.8069290775328876,0.7653324060231493,0.7923934108527132,0.7730552651501033,0.7835829195740966,2.89182
62,identity,20,20,0.0001,0.001,0.7473352713178295,0.8116581505659308,0.7946024477418587,0.7048889924941819,0.7473352713178295,0.7049237829565149,0.7227013780779351,1.25676
63,identity,20,20,0.001,0.1,0.7730135658914729,0.8171868148812019,0.8036584995976994,0.7377885963965908,0.7730135658914729,0.7435596982414123,0.7573708041588102,1.318
64,identity,20,20,0.001,0.01,0.7868217054263565,0.7862229567307693,0.7984973049903101,0.7936208251776274,0.7868217054263565,0.7853309481216457,0.7881737876329548,1.54537
65,identity,20,20,0.001,0.001,0.6293604651162791,0.7132626377391837,0.7417511601204598,0.6708633232125518,0.6293604651162791,0.6202903325489649,0.6109643028245791,0.62832
66,identity,20,50,0.0001,0.1,0.7456395348837209,0.7658761087335931,0.7589330164503734,0.7142471833916434,0.7456395348837209,0.7183941919971558,0.7323139310420053,3.57065
67,identity,20,50,0.0001,0.01,0.7560562015503876,0.809956591250524,0.7947812025624169,0.7166794460798669,0.7560562015503876,0.7193435973192153,0.7354745205447003,5.20765
